paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_OTHERpackage_available,code_application_cited,code_comments,country_corresponding,country_first,georegion_data,georegion_author_match,georegion_data_cited,equity_comments,comments,course_of_action,justification,recorder_ID
1261,10.1111/1365-2435.13881,2021,Functional Ecology,Research Article,Yes,Yes,"Code, metadata and empirical data generated and used in this manuscript are available from the Dryad Digital Repository https://doi.org/10.25338/B8N33J (Pan et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,NA,Zenodo,Yes,Yes,MIT,No,Yes,Yes,"markdown / notebook containing code (e.g. .Rmd, .qmd, etc)","R (including Rmarkdown, Quarto)",No,NA,2,No,Not an R package,NA,NA,NA,United States of America,United States of America,United States of America,Yes - One or more middle authors,NA,NA,"In the data availability statement (Code, metadata and empirical data generated and used in this manuscript are available from the Dryad Digital Repository https://doi.org/10.25338/B8N33J (Pan et al., 2021).) the paper claims to have archived the code along with the data but in the archive its absent",Edit,The code files are in a Zenodo repository attached to the Dryad repository,105
1042,10.1111/1365-2656.12882,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Data have been made available on the Figshare Digital Repository: https://doi.org/10.6084/m9.figshare.6682670.v1 (Mella, Possell, Smith, & McArthur 2018).",Yes,Figshare,Yes,Yes,CC BY 4.0,Yes,Yes,.csv/.tsv;.xls(x),Yes,6,All the data necessary to reproduce all analyses and results are archived.,Yes,"""At each site, we determined whether each feeding station was visited (1) or not (0) during each experimental night, and tested whether the probability of a visit was a function of treatment (dietary N content as a continuous variable) using logistic regression in sas (PROC GLIMMIX with a binomial distribution and logit link function, sas 9.4). Day (fixed effect), site (random effect) and feeding station nested within site (random effect) were also included in the model.""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Australia,Australia,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,Statistics done using SAS - unsure if code or not,Edit,SAS actually does use code,30
101,http://doi.org/10.1111/1365-2745.13654,2021,Journal of Ecology,Research Article,Yes,Yes,"Data have been archived with the Bonanza Creek LTER (Sullivan, 2021a, 2021b).",Yes,edi repository and Bonanza Creek LTER web page,Yes,No,NA,Yes,Yes,.csv/.tsv;.txt,Yes,3,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,"Monte Carlo simulations were then performed using the propagate package (Spiess, 2018) in R to estimate soil water potential and its 95% confidence intervals at SWC of 0.15 and 0.06 v/v. All graphics were produced using the ggplot2 package (Wickham, 2016) in R.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,The data is stored in two different places,None,Two data repositories are not an issue,9
7912,http://doi.org/10.1111/1365-2656.12787,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Data associated with this manuscript are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.m605m (Campos-Candela, Palmer, Balle, & Al??s, 2017).",Yes,Dryad,Yes,Yes,CC0,NA,Yes,.xls(x),No,NA,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,NA,Yes,Supplementary Information,Yes,Supplementary materials,No,No,NA,No,NA,No,.doc(x),"R (including Rmarkdown, Quarto)",No,NA,5,No,Unable to check,NA,NA,NA,NA,Spain,NO DATA COLLECTED,No authors are based in the georegion,NA,NA,NA,None,Unclear what issue is,89
1212,10.1111/1365-2435.14016,2022,Functional Ecology,Research Article,Yes,Yes,"All data and code associated with this manuscript are available in Figshare:https://figshare.com/articles/dataset/Data_and_code_for_A_neonicotinoid_pesticide_alt.ers_how_nectar_chemistry_affects_bees/16543620 (Richman, 2021).",No,Figshare,Yes,Yes,CC BY 4.0,Yes,Yes,.csv/.tsv,Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,"All analyses were performed using R version 4.0.2 (R Core Team, 2018).",Yes,Yes,No,Figshare,Yes,Yes,CC BY,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,5,No,Not an R package,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,UNCLEAR,NA,"code and data was referenced in the Data Availability Statement, but the link provided the following error message: ""! - the page cannot be found - the page you are looking for does not exist or has been moved""",Edit,Link was indeed broken but I found the repository by searching on Figshare,57
1699,10.1111/1365-2435.13998,2022,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.8pk0p2nnr (Yu et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,"We then identified the best of these by ranking them based on the AICc values using model.sel, and averaged the models using model.avg, if ŒîAICc < 2, in the r package MuMIn (Barto?Ñ, 2011). Finally, we performed multiple comparisons with interaction term (size and colour) using rbind method in the r package lsmeans (Lenth, 2016). All analyses were performed in r v. 4.1.0 (R Core Team, 2021).",Yes,Yes,NA,Zenodo,Yes,Yes,MIT,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,9,7,No,Not an R package,NA,NA,NA,Singapore,China,China,Yes - First author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,China,NA,The availibility of a code was unclear to be checked.,Edit,The code file is in a Zenodo repository attached to the Dryad repository,65
4104,10.1111/1365-2435.14431,2023,Functional Ecology,Research Article,Yes,Yes,Data available from Open Science Framework at https://osf.io/fwjh9/. DOI: https://doi.org/10.17605/OSF.IO/FWJH9.,Yes,OSF (https://osf.io/),Yes,No,NA,Yes,Yes,.csv/.tsv;.txt;.xls(x);.xml;.json,Yes,3,All the data necessary to reproduce all analyses and results are archived.,Yes,"To determine statistical differences in alpha diversity we used Kruskal-Wallis tests in the base R software (R Core Team, 2020).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,UNCLEAR,NA,"The data should be in the OSF link provided, but I could not find any files in the ""files"" tab (or any other tab)",Edit,There is a dropdown on the OSF page that had to be toggled to show the data files,116
3371,10.1111/1365-2664.13117,2018,Journal of Applied Ecology,Research Article,Yes,"No, but they are available on request",Elephant tracking data have not been archived given their highly sensitive nature. Interested readers can contact the corresponding author directly for inquiries. Functions and associated documentation (which include examples) are available within the r package wildxing. https://doi.org/10.5281/zenodo.1158705 (Bastille-Rousseau (2018).,No,NA,NA,NA,NA,No - because the data are embargoed,NA,NA,NA,NA,NA,Yes,"All functions from our analysis (segmentation of LFs, home-range intersection, crossing intensity and optimization algorithms) and an explanatory vignette are available as an r package ‚Äúwildxing‚Äù (https://github.com/BastilleRousseau/wildxing).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,Kenya,Yes - Last author;Yes - One or more middle authors,NA,NA,I did this one twice as made a mistake on the first submission of this paper,Delete duplicate,Other record for this paper should be deleted,74
3509,10.1111/1365-2664.13545,2019,Journal of Applied Ecology,Research Article,Yes,Yes,"Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.dr7sqv9v2 (Tremlett, Moore, Chapman, Zamora-Gutierrez, & Peh, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Unsure,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Mexico;United States of America,Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,Corresponding author is affiliated with both UK and Mexican institutions (CIDIR) and on the spreadsheet it is stated as only the UK,None,Two affiliations is not an issue,28
1895,http://doi.org/10.1111/1365-2656.13515,2021,Journal of Animal Ecology,Research Article,Yes,Yes,"All code and data are available on github at https://github.com/mfidino/coyote-mange and are archived on Zenodo https://doi.org/10.5281/zenodo.4721850 and Dryad Digital Repository https://doi.org/10.5061/dryad.x3ffbg7js (Murray et al., 2021).",Yes,"Dryad;GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.shp,Yes,8,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,CC0,Unclear,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto);Python;Jags",Yes,7,8,Yes,Not an R package,NA,NA,"This code uses multiple languages and platforms (r, Jags, Python)",United States of America,NA,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"I had problems because the paper reference to three different sources for code and data, and I was not clear how they relate and which sources I should use finding their code and data. They would have benefited from making this a bot clearer!",None,Unclear READMEs leading to uncertainty around answers is to be expected,54
