journal,var,value,total,n,%
Ecological Solutions and Evidence,data_used,Yes,60,57,95
Ecological Solutions and Evidence,code_used,Yes,60,53,88.33
Functional Ecology,data_used,Yes,397,388,97.73
Functional Ecology,code_used,Yes,397,354,89.17
Journal of Animal Ecology,data_used,Yes,323,315,97.52
Journal of Animal Ecology,code_used,Yes,323,302,93.5
Journal of Applied Ecology,data_used,Yes,383,360,93.99
Journal of Applied Ecology,code_used,Yes,383,350,91.38
Journal of Ecology,data_used,Yes,336,324,96.43
Journal of Ecology,code_used,Yes,336,315,93.75
Methods in Ecology and Evolution,data_used,Yes,243,182,74.9
Methods in Ecology and Evolution,code_used,Yes,243,222,91.36
People and Nature,data_used,Yes,119,109,91.6
People and Nature,code_used,Yes,119,74,62.18
